userId,recommended_movies
1,"[8636, 1259, 4993, 1036, 4896]"
2,"[2329, 4993, 2858, 1625, 593]"
3,"[260, 1213, 1198, 780, 2571]"
4,"[1278, 904, 1387, 1210, 1287]"
5,"[110, 356, 292, 165, 47]"
6,"[597, 356, 480, 60, 595]"
7,"[2571, 318, 7153, 527, 4886]"
8,"[296, 454, 356, 165, 589]"
9,"[2571, 593, 1270, 260, 904]"
10,"[1704, 81845, 74458, 318, 7153]"
11,"[356, 457, 34, 527, 364]"
12,"[339, 318, 588, 261, 315]"
13,"[5989, 2858, 2028, 50, 260]"
14,"[457, 595, 356, 590, 296]"
15,"[1210, 7153, 4886, 356, 2959]"
16,"[858, 2959, 79132, 1221, 527]"
17,"[593, 110, 608, 293, 318]"
18,"[2858, 33794, 2329, 4022, 1210]"
19,"[2571, 2916, 593, 2628, 1036]"
20,"[150, 4022, 6377, 8360, 3052]"
21,"[2571, 86332, 45722, 260, 8636]"
22,"[2571, 608, 527, 3578, 8368]"
23,"[356, 2959, 1199, 1208, 1276]"
24,"[7153, 89745, 1270, 293, 54286]"
25,"[318, 7153, 356, 4993, 109487]"
26,"[590, 318, 380, 589, 367]"
27,"[527, 1291, 2571, 1, 2028]"
28,"[480, 858, 5952, 3147, 1653]"
29,"[527, 2571, 356, 1089, 48516]"
30,"[356, 2959, 7153, 593, 2329]"
31,"[480, 95, 593, 457, 589]"
32,"[32, 6, 786, 1, 25]"
33,"[150, 356, 6, 260, 377]"
34,"[6874, 1580, 47, 2628, 4886]"
35,"[339, 380, 356, 457, 434]"
36,"[1704, 1580, 2858, 58559, 2571]"
37,"[595, 480, 110, 160, 161]"
38,"[539, 32, 282, 110, 595]"
39,"[858, 1196, 4027, 1291, 1127]"
40,"[595, 165, 153, 586, 367]"
41,"[318, 2291, 2329, 4995, 1193]"
42,"[2028, 1617, 3175, 2706, 316]"
43,"[161, 457, 1, 434, 47]"
44,"[260, 802, 733, 62, 1073]"
45,"[1210, 4226, 1, 7153, 1036]"
46,"[150, 296, 434, 39, 595]"
47,"[1704, 356, 527, 296, 58559]"
48,"[318, 45499, 33794, 8360, 1198]"
49,"[60069, 58559, 68954, 4993, 91529]"
50,"[858, 527, 50, 480, 2329]"
51,"[1136, 47, 1258, 110, 858]"
52,"[4993, 4306, 60069, 8961, 1210]"
53,"[480, 50, 1198, 1246, 910]"
54,"[47, 296, 539, 380, 527]"
55,"[4963, 2502, 2858, 6333, 2571]"
56,"[150, 50, 457, 592, 47]"
57,"[1198, 1196, 457, 1270, 858]"
58,"[590, 34, 593, 434, 329]"
59,"[356, 1219, 1198, 1196, 296]"
60,"[2571, 296, 1193, 4973, 2959]"
61,"[2571, 1089, 79132, 48516, 1222]"
62,"[32587, 44191, 1210, 296, 1198]"
63,"[356, 5952, 32, 3949, 2571]"
64,"[2329, 150, 16, 4571, 1196]"
65,"[296, 356, 5952, 79132, 3578]"
66,"[1200, 8636, 1732, 1954, 293]"
67,"[50, 356, 7153, 858, 527]"
68,"[5952, 1580, 1270, 780, 1517]"
69,"[356, 2028, 2571, 1240, 2268]"
70,"[296, 2324, 2028, 50, 593]"
71,"[786, 32, 832, 104, 628]"
72,"[356, 380, 593, 595, 367]"
73,"[122904, 2716, 1198, 8368, 3948]"
74,"[1208, 2997, 6016, 912, 5291]"
75,"[1196, 1136, 1036, 260, 1356]"
76,"[2329, 79132, 5952, 296, 50]"
77,"[356, 2571, 2028, 58559, 1291]"
78,"[356, 590, 110, 153, 527]"
79,"[110, 589, 1097, 1036, 1291]"
80,"[6539, 7153, 4011, 2329, 293]"
81,"[457, 592, 454, 595, 434]"
82,"[110, 2571, 1291, 4571, 10]"
83,"[2571, 1625, 2959, 597, 527]"
84,"[150, 924, 595, 6, 32]"
85,"[593, 318, 924, 902, 1230]"
86,"[527, 1196, 2571, 3147, 48516]"
87,"[2571, 2959, 1270, 858, 4886]"
88,"[318, 2571, 7153, 6539, 3578]"
89,"[3793, 59315, 35836, 2572, 60756]"
90,"[733, 1, 648, 141, 95]"
91,"[2502, 1527, 480, 1732, 1784]"
92,"[780, 260, 2324, 344, 318]"
93,"[480, 1036, 296, 590, 377]"
94,"[356, 316, 110, 47, 161]"
95,"[260, 5502, 1097, 2571, 1089]"
96,"[593, 1552, 1610, 1197, 380]"
97,"[318, 2858, 5952, 296, 1089]"
