userId,recommended_movies
1.0,"[117646, 5657, 6990, 55116, 4956, 4818, 60074, 42015, 2429, 41569]"
2.0,"[78, 293, 349, 996, 1218, 1573, 1589, 2540, 2881, 2959]"
3.0,"[60471, 1200, 161918, 36509, 480, 780, 1127, 1129, 1356, 1374]"
4.0,"[4, 11, 58, 94, 195, 224, 232, 281, 351, 359]"
5.0,"[4, 11, 52, 94, 195, 224, 281, 351, 359, 361]"
6.0,"[4956, 42015, 72142, 55116, 496, 5666, 59947, 70728, 4719, 117646]"
7.0,"[8361, 27618, 48774, 55116, 58025, 91500, 117529, 187031, 117646, 4956]"
8.0,"[496, 5666, 4956, 543, 6228, 7826, 132422, 2468, 1912, 3893]"
9.0,"[4956, 31921, 970, 1912, 3893, 144606, 20, 145, 1432, 5027]"
10.0,"[61071, 42015, 45672, 4, 11, 52, 58, 94, 195, 224]"
11.0,"[798, 2344, 2403, 2524, 4142, 5064, 5479, 7700, 27865, 34397]"
12.0,"[4, 11, 52, 58, 94, 195, 224, 232, 281, 351]"
13.0,"[51545, 51709, 7235, 59947, 70728, 45, 319, 5416, 6193, 41716]"
14.0,"[4956, 42015, 496, 5666, 4800, 61071, 72142, 1912, 3893, 144606]"
15.0,"[8361, 27618, 48774, 58025, 117529, 187031, 71999, 1726, 4643, 6645]"
16.0,"[117646, 71999, 4956, 4719, 2429, 41569, 55116, 6902, 459, 20]"
17.0,"[49530, 5657, 6990, 20, 145, 1432, 5027, 5628, 7007, 31221]"
18.0,"[55116, 20, 145, 1432, 5027, 5628, 7007, 117646, 6016, 4956]"
19.0,"[4956, 117646, 55116, 31367, 164226, 6564, 6902, 27032, 1429, 2835]"
20.0,"[1907, 56152, 134853, 709, 8360, 108540, 26340, 51939, 108932, 69644]"
21.0,"[27032, 55116, 164226, 1429, 2835, 4270, 6503, 8968, 26184, 80219]"
22.0,"[20, 145, 1432, 5027, 5628, 7007, 296, 608, 1034, 3266]"
23.0,"[2058, 5388, 7445, 8860, 74510, 90738, 120637, 132618, 150548, 165347]"
24.0,"[4956, 380, 6564, 42015, 31367, 27032, 55116, 2406, 7720, 57951]"
25.0,"[86, 1287, 1801, 2013, 2019, 2370, 2421, 2893, 2905, 6448]"
26.0,"[20, 145, 1432, 5027, 5628, 7007, 608, 1034, 3266, 4242]"
27.0,"[42015, 4818, 26236, 2890, 82765, 128944, 546, 40339, 52287, 85261]"
28.0,"[519, 6016, 78, 349, 996, 1218, 1573, 1589, 2540, 2881]"
29.0,"[49530, 36529, 647, 1262, 3406, 3654, 4103, 4339, 4826, 7143]"
30.0,"[208, 316, 442, 1210, 1375, 1831, 2094, 2105, 2275, 2528]"
31.0,"[4956, 4800, 42015, 71999, 380, 6564, 55116, 26236, 2802, 3584]"
32.0,"[4956, 42015, 55116, 72142, 4719, 117646, 59947, 70728, 20, 145]"
33.0,"[14, 26, 31, 40, 55, 57, 62, 121, 147, 148]"
34.0,"[4956, 55116, 117646, 380, 6564, 27032, 1429, 2835, 4270, 59947]"
35.0,"[31367, 420, 861, 876, 1918, 2273, 3104, 3710, 4084, 4673]"
36.0,"[2058, 5388, 7445, 8860, 74510, 90738, 120637, 132618, 150548, 165347]"
37.0,"[8361, 27618, 48774, 58025, 91500, 117529, 187031, 6016, 519, 2985]"
38.0,"[4956, 55116, 42015, 496, 5666, 59947, 70728, 117646, 20, 145]"
39.0,"[117646, 134853, 148775, 55116, 5657, 6990, 1907, 4956, 4818, 26340]"
40.0,"[4956, 42015, 72142, 4719, 26236, 55116, 438, 1112, 4442, 4635]"
41.0,"[1912, 3893, 144606, 1034, 3266, 4242, 6003, 6023, 6705, 27716]"
42.0,"[4956, 55116, 59947, 70728, 20, 145, 1432, 5027, 5628, 7007]"
43.0,"[4956, 4719, 55116, 117646, 459, 42015, 31367, 20, 145, 1432]"
44.0,"[55116, 4956, 1429, 2835, 4270, 380, 6503, 6564, 8968, 26184]"
45.0,"[4956, 55116, 42015, 117646, 4818, 5657, 6990, 26236, 61071, 59947]"
46.0,"[20, 145, 1432, 5027, 5628, 7007, 6016, 6503, 8968, 26184]"
47.0,"[14, 26, 40, 43, 55, 57, 121, 148, 154, 175]"
48.0,"[480, 849, 1127, 1129, 1356, 1374, 1544, 1591, 2916, 3638]"
49.0,"[8361, 27618, 48774, 58025, 91500, 117529, 187031, 1726, 4643, 6645]"
50.0,"[55116, 117646, 4818, 4956, 5657, 6990, 42015, 438, 1112, 4442]"
51.0,"[4956, 55116, 117646, 42015, 59947, 70728, 51545, 4818, 7235, 20]"
52.0,"[6016, 798, 2344, 2403, 2524, 4142, 5479, 7700, 27865, 34397]"
53.0,"[72142, 42015, 4, 11, 52, 58, 94, 195, 224, 232]"
54.0,"[459, 519, 2985, 198, 79132, 4719, 78, 293, 349, 996]"
55.0,"[20, 145, 1432, 5027, 5628, 7007, 78, 293, 349, 996]"
56.0,"[20, 145, 1432, 5027, 5628, 7007, 59947, 70728, 55116, 4956]"
57.0,"[4956, 42015, 55116, 26236, 4818, 117646, 5657, 6990, 72142, 2890]"
58.0,"[4956, 496, 5666, 59947, 70728, 55116, 4719, 20, 145, 1432]"
59.0,"[49530, 4956, 7766, 27704, 46855, 57528, 69481, 74795, 107069, 117867]"
60.0,"[7215, 897, 26791, 55253, 389, 920, 1183, 1944, 2730, 2919]"
61.0,"[111, 149, 259, 456, 482, 507, 707, 1344, 1351, 1598]"
62.0,"[8361, 27618, 48774, 58025, 91500, 117529, 187031, 71999, 55116, 6016]"
63.0,"[5657, 6990, 55116, 117646, 4956, 4818, 42015, 20, 145, 1432]"
