userId,recommended_movies
1.0,"[2890, 6539, 153, 53125, 49530, 546, 7153, 41569, 6016, 2429]"
2.0,"[2959, 78, 293, 349, 996, 1218, 1573, 1589, 2540, 2881]"
3.0,"[780, 1129, 1374, 480, 6333, 3703, 5349, 1200, 1356, 1037]"
4.0,"[2396, 909, 1784, 1883, 11, 2248, 1639, 1235, 58, 1244]"
5.0,"[539, 224, 11, 372, 351, 52, 4, 94, 195, 281]"
6.0,"[195, 281, 52, 4956, 42015, 72142, 55116, 496, 5666, 59947]"
7.0,"[48774, 6016, 58025, 91500, 2985, 292, 8361, 27618, 55116, 117529]"
8.0,"[543, 224, 372, 496, 5666, 4956, 6228, 7826, 132422, 2468]"
9.0,"[2001, 4956, 31921, 970, 1912, 3893, 144606, 20, 145, 1432]"
10.0,"[898, 909, 916, 2125, 539, 838, 1457, 2145, 2248, 1888]"
11.0,"[733, 1610, 494, 2948, 95, 798, 2344, 2403, 2524, 4142]"
12.0,"[539, 2125, 195, 281, 372, 852, 4, 11, 52, 58]"
13.0,"[608, 296, 51545, 51709, 7235, 59947, 70728, 45, 319, 5416]"
14.0,"[224, 372, 4956, 42015, 496, 5666, 4800, 61071, 72142, 1912]"
15.0,"[480, 780, 1127, 292, 91535, 2403, 88744, 117529, 48774, 8361]"
16.0,"[6016, 91500, 117646, 71999, 4956, 4719, 2429, 41569, 55116, 6902]"
17.0,"[293, 20, 7007, 49530, 5657, 6990, 145, 1432, 5027, 5628]"
18.0,"[6016, 48774, 349, 293, 2985, 91535, 91500, 3275, 2403, 2881]"
19.0,"[1429, 4270, 145, 2468, 6503, 1432, 4719, 42015, 546, 2617]"
20.0,"[6377, 8360, 5218, 1907, 56152, 2355, 33615, 44022, 8961, 134853]"
21.0,"[2683, 380, 1517, 59615, 176101, 4270, 3827, 80219, 6564, 6503]"
22.0,"[608, 296, 319, 5628, 57669, 2002, 91128, 2001, 6003, 3893]"
23.0,"[2959, 79132, 2467, 1805, 3262, 2023, 5388, 1589, 198, 7445]"
24.0,"[380, 2683, 122904, 1517, 59615, 5796, 4956, 6564, 42015, 31367]"
25.0,"[86, 1287, 1801, 2013, 2019, 2370, 2421, 2893, 2905, 6448]"
26.0,"[21, 608, 420, 20, 145, 1432, 5027, 5628, 7007, 1034]"
27.0,"[1527, 2890, 3440, 546, 2720, 2005, 42015, 4818, 26236, 82765]"
28.0,"[6016, 1573, 3275, 349, 41997, 47044, 2881, 33437, 1589, 59369]"
29.0,"[1262, 110, 7980, 1233, 52319, 7143, 3753, 49530, 36529, 647]"
30.0,"[89745, 1210, 72998, 3704, 208, 316, 442, 1375, 1831, 2094]"
31.0,"[380, 4956, 4800, 42015, 71999, 6564, 55116, 26236, 2802, 3584]"
32.0,"[145, 4956, 42015, 55116, 72142, 4719, 117646, 59947, 70728, 20]"
33.0,"[282, 175, 306, 14, 148, 299, 31, 62, 213, 233]"
34.0,"[380, 552, 861, 4270, 6503, 2273, 4956, 55116, 117646, 6564]"
35.0,"[380, 31367, 420, 861, 876, 1918, 2273, 3104, 3710, 4084]"
36.0,"[79132, 293, 2959, 20, 7007, 36529, 1589, 2058, 5388, 7445]"
37.0,"[8361, 27618, 48774, 58025, 91500, 117529, 187031, 6016, 519, 2985]"
38.0,"[296, 11, 587, 45, 52, 4956, 55116, 42015, 496, 5666]"
39.0,"[2617, 7153, 1907, 2005, 3440, 117646, 134853, 148775, 55116, 5657]"
40.0,"[539, 11, 195, 852, 4956, 42015, 72142, 4719, 26236, 55116]"
41.0,"[57669, 106782, 1912, 3893, 144606, 1034, 3266, 4242, 6003, 6023]"
42.0,"[4085, 145, 5666, 1912, 33672, 319, 2001, 42015, 45, 438]"
43.0,"[4956, 4719, 55116, 117646, 459, 42015, 31367, 20, 145, 1432]"
44.0,"[1429, 145, 55116, 4956, 2835, 4270, 380, 6503, 6564, 8968]"
45.0,"[46578, 1432, 5628, 1884, 55269, 6564, 4956, 55116, 42015, 117646]"
46.0,"[20, 145, 1432, 5027, 5628, 7007, 6016, 6503, 8968, 26184]"
47.0,"[154, 14, 26, 40, 43, 55, 57, 121, 148, 175]"
48.0,"[260, 480, 1374, 48774, 6365, 2916, 6934, 52722, 58025, 316]"
49.0,"[8361, 27618, 48774, 58025, 91500, 117529, 187031, 1726, 4643, 6645]"
50.0,"[2002, 2000, 46578, 1884, 55116, 117646, 4818, 4956, 5657, 6990]"
51.0,"[587, 1396, 41716, 1912, 33672, 1432, 71156, 70728, 7235, 84523]"
52.0,"[293, 2959, 6016, 8798, 1573, 3275, 41997, 91535, 89087, 798]"
53.0,"[2248, 539, 11, 1277, 1244, 224, 852, 1235, 1885, 1895]"
54.0,"[349, 459, 519, 2985, 198, 79132, 4719, 78, 293, 996]"
55.0,"[2959, 293, 2881, 1573, 349, 3256, 4901, 31420, 145, 59369]"
56.0,"[349, 296, 293, 608, 20, 145, 1432, 5027, 5628, 7007]"
57.0,"[2890, 1396, 4800, 4956, 42015, 55116, 26236, 4818, 117646, 5657]"
58.0,"[45, 4956, 496, 5666, 59947, 70728, 55116, 4719, 20, 145]"
59.0,"[2403, 2890, 2524, 786, 1385, 49530, 4956, 7766, 27704, 46855]"
60.0,"[1216, 389, 7215, 897, 26791, 55253, 920, 1183, 1944, 2730]"
61.0,"[111, 1729, 6086, 2176, 4034, 149, 259, 456, 482, 507]"
62.0,"[91500, 4643, 117529, 88744, 48774, 58025, 91535, 7007, 8361, 2985]"
63.0,"[2000, 2002, 5628, 2001, 119145, 60074, 5657, 6990, 55116, 117646]"
64.0,"[2001, 5049, 4085, 2002, 2000, 1432, 1034, 4956, 55116, 117646]"
65.0,"[79132, 59369, 4901, 198, 49530, 78, 293, 349, 996, 1218]"
66.0,"[2890, 2000, 1396, 3893, 145, 5049, 4719, 7007, 42015, 2002]"
67.0,"[59615, 5657, 6990, 1396, 4818, 55116, 1473, 2000, 2001, 2002]"
68.0,"[380, 2000, 2002, 4085, 145, 45672, 5666, 42015, 1432, 7007]"
69.0,"[79132, 8361, 27618, 48774, 58025, 91500, 117529, 187031, 292, 1726]"
70.0,"[175, 300, 31, 365, 337, 14, 26, 40, 43, 55]"
71.0,"[494, 480, 849, 1127, 1129, 1374, 1591, 2916, 3638, 3703]"
72.0,"[6016, 4956, 55116, 59947, 70728, 20, 145, 1432, 5027, 5628]"
73.0,"[106918, 85401, 4818, 42015, 4956, 55116, 5657, 6990, 117646, 33138]"
74.0,"[154, 175, 300, 147, 193, 307, 62, 14, 26, 31]"
75.0,"[1356, 5349, 1374, 2916, 480, 780, 1127, 60684, 3703, 85414]"
76.0,"[293, 8798, 41997, 349, 2985, 7235, 519, 4210, 78, 996]"
77.0,"[260, 2628, 2640, 2105, 1831, 1726, 4643, 6645, 72308, 171765]"
78.0,"[1356, 1527, 1127, 2916, 1544, 27032, 164226, 4434, 140711, 1429]"
79.0,"[1127, 780, 1356, 2985, 798, 2403, 170, 6016, 2625, 8361]"
80.0,"[293, 79132, 48774, 60684, 5219, 52281, 88744, 58025, 7022, 56174]"
81.0,"[292, 780, 8361, 27618, 48774, 58025, 91500, 117529, 187031, 849]"
82.0,"[4270, 8968, 1918, 1432, 8984, 153, 7004, 26184, 80219, 861]"
83.0,"[49530, 71999, 8361, 27618, 58025, 91500, 117529, 187031, 1726, 4643]"
84.0,"[58, 372, 3307, 94, 1277, 1784, 2396, 1537, 1883, 2145]"
85.0,"[175, 300, 307, 154, 263, 337, 365, 31, 277, 14]"
86.0,"[48774, 41569, 71999, 4956, 117646, 161594, 2429, 8361, 27036, 27618]"
87.0,"[1270, 46578, 329, 924, 134853, 2968, 2054, 148775, 43289, 47384]"
88.0,"[79132, 67255, 48883, 1805, 2058, 5388, 7445, 8860, 74510, 90738]"
89.0,"[216, 344, 413, 5, 65, 125, 141, 267, 342, 348]"
90.0,"[852, 11, 281, 4, 58, 94, 195, 224, 232, 351]"
91.0,"[2985, 292, 8361, 6016, 3032, 145, 48774, 2403, 5064, 4719]"
92.0,"[4683, 2005, 4232, 5076, 134853, 2392, 2123, 2846, 3674, 6557]"
93.0,"[1527, 380, 2683, 4956, 42015, 4818, 55116, 117646, 27032, 164226]"
94.0,"[55116, 4956, 117646, 20, 145, 1432, 5027, 5628, 7007, 6503]"
95.0,"[6016, 48774, 198, 8361, 20, 2001, 1432, 145, 1396, 5628]"
96.0,"[798, 2403, 2737, 55116, 2344, 2524, 4142, 5064, 5479, 7700]"
97.0,"[6016, 49530, 48774, 380, 8361, 55116, 4956, 459, 798, 2344]"
98.0,"[1527, 91500, 48774, 40339, 52287, 85261, 157865, 546, 62956, 117646]"
99.0,"[145, 20, 4956, 4719, 1432, 1912, 3893, 5027, 5628, 7007]"
100.0,"[1784, 539, 2396, 1247, 11, 1244, 1883, 58, 232, 1235]"
101.0,"[608, 145, 20, 1432, 5027, 5628, 7007, 55116, 59947, 70728]"
102.0,"[420, 4956, 31367, 6564, 20, 145, 1432, 5027, 5628, 6503]"
103.0,"[46578, 1907, 2890, 2001, 2000, 5049, 1884, 2002, 117646, 5657]"
104.0,"[539, 2145, 1907, 56152, 1784, 1639, 372, 1457, 1236, 11]"
105.0,"[608, 57669, 2000, 8370, 7007, 4085, 145, 75813, 2002, 4719]"
106.0,"[45722, 38294, 55259, 86332, 123553, 156607, 44, 393, 653, 1275]"
107.0,"[608, 20, 145, 1432, 5027, 5628, 7007, 55116, 117646, 1034]"
108.0,"[1784, 539, 11, 838, 372, 2145, 2245, 58, 1537, 1888]"
109.0,"[235, 308, 205, 171, 145, 194, 4956, 496, 5666, 59947]"
110.0,"[20, 145, 1432, 5027, 5628, 7007, 59947, 70728, 1034, 1473]"
111.0,"[104, 344, 19, 69, 441, 203, 267, 216, 413, 489]"
112.0,"[6016, 91500, 49530, 48774, 8361, 27618, 58025, 117529, 187031, 1726]"
113.0,"[2396, 11, 852, 2243, 898, 1784, 224, 1244, 909, 361]"
114.0,"[6539, 86332, 7153, 108932, 103042, 79139, 485, 546, 2005, 3440]"
115.0,"[2617, 145, 72165, 117646, 55116, 81132, 1429, 2835, 4270, 51545]"
116.0,"[380, 2890, 11, 33679, 552, 852, 4956, 42015, 26236, 72142]"
117.0,"[145, 20, 4956, 55116, 117646, 4719, 42015, 1432, 5027, 5628]"
118.0,"[111, 149, 259, 456, 482, 507, 707, 1344, 1351, 1598]"
119.0,"[49530, 91500, 4085, 8361, 91535, 117529, 2000, 58025, 145, 7007]"
120.0,"[8360, 380, 1907, 108540, 69644, 42015, 56152, 4306, 84637, 92348]"
121.0,"[315, 168, 786, 2802, 3584, 4438, 8093, 4956, 4800, 8481]"
122.0,"[91500, 80219, 4270, 8361, 117529, 2985, 6503, 8370, 7007, 58025]"
123.0,"[2959, 6016, 198, 519, 2985, 67197, 2058, 5388, 7445, 8860]"
124.0,"[970, 6023, 27716, 33903, 72919, 129354, 166, 478, 778, 1271]"
125.0,"[2000, 71156, 91128, 7007, 72142, 85401, 4956, 55116, 59947, 70728]"
126.0,"[349, 4956, 55116, 459, 117646, 20, 145, 1432, 4800, 5027]"
127.0,"[3386, 1094, 965, 1597, 2712, 5008, 1889, 1645, 3176, 1674]"
128.0,"[380, 736, 4956, 4800, 459, 71999, 8972, 26614, 77364, 1264]"
129.0,"[2916, 6333, 5349, 8361, 4270, 780, 48774, 1127, 3703, 849]"
130.0,"[608, 20, 145, 1432, 5027, 5628, 7007, 1034, 3266, 4242]"
131.0,"[2959, 8798, 78, 349, 996, 1218, 1573, 1589, 2540, 2881]"
132.0,"[2145, 539, 898, 2125, 1235, 1639, 372, 909, 1247, 1277]"
133.0,"[20, 145, 1432, 1912, 3893, 5027, 5628, 7007, 144606, 608]"
134.0,"[292, 6016, 8361, 27618, 48774, 55116, 58025, 91500, 117529, 187031]"
135.0,"[2617, 145, 6503, 117646, 55116, 4956, 59947, 70728, 164226, 20]"
136.0,"[380, 587, 145, 20, 4956, 117646, 55116, 59947, 70728, 4719]"
137.0,"[198, 6016, 79132, 1396, 2001, 4956, 7235, 20, 145, 1432]"
138.0,"[8961, 4643, 40339, 52287, 85261, 157865, 3745, 26183, 62999, 63859]"
139.0,"[48774, 41569, 480, 117529, 780, 6365, 1562, 4638, 1356, 1374]"
140.0,"[2959, 1573, 349, 145, 59369, 6185, 33437, 996, 47044, 4719]"
141.0,"[1517, 119145, 5657, 6990, 117646, 4818, 42015, 4956, 55116, 60074]"
142.0,"[293, 349, 20, 145, 1432, 5027, 5628, 7007, 4719, 1912]"
143.0,"[39, 1188, 597, 1569, 357, 440, 339, 3, 7, 64]"
144.0,"[4270, 4956, 55116, 117646, 42015, 4818, 5657, 6990, 4719, 459]"
145.0,"[6016, 5657, 6503, 6990, 8968, 26184, 55116, 80219, 117646, 4998]"
146.0,"[838, 52, 11, 2059, 852, 496, 5666, 108540, 138702, 4]"
147.0,"[296, 21, 608, 1034, 3266, 4242, 6003, 6705, 57669, 71211]"
148.0,"[8961, 1, 63859, 4306, 3114, 4016, 56152, 2005, 26340, 51939]"
149.0,"[2571, 3527, 1374, 2916, 3703, 1544, 1129, 5349, 379, 1240]"
150.0,"[1429, 55116, 4956, 2835, 4270, 59947, 70728, 380, 6564, 27032]"
151.0,"[65, 5, 467, 255, 333, 344, 419, 141, 18, 19]"
152.0,"[2959, 608, 8798, 293, 4901, 20, 145, 1432, 5027, 5628]"
153.0,"[1247, 2145, 4, 11, 52, 58, 94, 195, 224, 232]"
154.0,"[1196, 122904, 260, 5378, 33493, 6534, 59615, 188301, 1527, 3827]"
155.0,"[2683, 1527, 7262, 112, 4799, 5803, 7048, 47538, 119145, 2471]"
156.0,"[2396, 1247, 898, 11, 1175, 539, 2245, 3893, 909, 224]"
157.0,"[2846, 3674, 4683, 5076, 6557, 134853, 148775, 1884, 33138, 33669]"
158.0,"[2797, 296, 3108, 7235, 20, 145, 587, 1396, 1432, 1912]"
159.0,"[539, 916, 1247, 838, 4, 11, 52, 58, 94, 195]"
160.0,"[2001, 198, 293, 1912, 4085, 349, 6016, 20, 145, 1432]"
161.0,"[588, 1, 4306, 4016, 8360, 3114, 134853, 4886, 78499, 166461]"
162.0,"[515, 249, 105, 25, 28, 46, 49, 74, 83, 85]"
163.0,"[1784, 838, 58, 1537, 1888, 587, 496, 5666, 1912, 3893]"
164.0,"[316, 260, 5378, 2628, 442, 1375, 3793, 208, 1831, 2094]"
165.0,"[4438, 6016, 48774, 4956, 459, 4800, 42015, 55116, 2802, 3584]"
166.0,"[49530, 6016, 91500, 380, 5064, 4956, 55116, 117646, 459, 20]"
167.0,"[8961, 78499, 4886, 30793, 2294, 673, 51939, 2005, 2054, 63859]"
168.0,"[300, 306, 154, 175, 307, 62, 1799, 27674, 14, 26]"
169.0,"[539, 1907, 46976, 78703, 914, 6373, 838, 1409, 45672, 46062]"
170.0,"[4956, 55116, 59947, 70728, 117646, 4800, 798, 2344, 2403, 2524]"
171.0,"[46578, 6016, 20, 55116, 117646, 5657, 6990, 31921, 4956, 145]"
172.0,"[380, 59615, 117646, 164226, 27032, 55116, 2617, 4956, 72165, 8361]"
173.0,"[2846, 3674, 4683, 4818, 5076, 6557, 42015, 55116, 4956, 1884]"
174.0,"[380, 145, 4956, 20, 1432, 5027, 5628, 7007, 31367, 4719]"
175.0,"[2125, 916, 1784, 1247, 1244, 2248, 1895, 1175, 4, 11]"
176.0,"[95, 494, 798, 2344, 2403, 2524, 4142, 5064, 5479, 7700]"
177.0,"[1784, 1457, 5666, 1235, 539, 852, 838, 45672, 587, 42015]"
178.0,"[4956, 26236, 42015, 55116, 117646, 4800, 459, 72142, 4719, 4818]"
179.0,"[315, 55116, 59947, 70728, 4956, 117646, 20, 145, 1432, 5027]"
180.0,"[6333, 5349, 3703, 1527, 480, 8361, 27618, 48774, 58025, 91500]"
181.0,"[587, 319, 4956, 55116, 42015, 59947, 70728, 117646, 496, 5666]"
182.0,"[608, 2000, 2002, 145, 41716, 4085, 1396, 5666, 42015, 5027]"
183.0,"[2403, 798, 1385, 2737, 292, 786, 2524, 1047, 2535, 315]"
184.0,"[117529, 88744, 161594, 8361, 27618, 27728, 48774, 58025, 91500, 187031]"
185.0,"[588, 2080, 783, 48, 108540, 56152, 8360, 138702, 134853, 46062]"
186.0,"[1356, 1544, 1129, 3638, 780, 2916, 480, 3703, 6645, 6333]"
187.0,"[79132, 293, 349, 20, 7007, 41997, 2985, 198, 1432, 5027]"
188.0,"[6345, 11, 224, 539, 361, 852, 5927, 5941, 6245, 6696]"
189.0,"[293, 55721, 6016, 459, 49530, 78, 349, 996, 1218, 1573]"
190.0,"[8972, 3893, 8361, 587, 7700, 4956, 117646, 42015, 55116, 459]"
191.0,"[539, 852, 11, 898, 1247, 838, 1244, 1537, 1888, 361]"
192.0,"[786, 6016, 798, 2344, 2403, 2524, 4142, 5064, 5479, 7700]"
193.0,"[1259, 150, 4998, 3418, 8341, 41863, 90945, 102194, 134515, 6016]"
194.0,"[236, 33679, 4299, 1197, 380, 2405, 7720, 57951, 6564, 42015]"
195.0,"[296, 2000, 1912, 2002, 1432, 5049, 2001, 20, 145, 5027]"
196.0,"[6016, 48774, 8361, 3578, 91500, 27618, 58025, 117529, 187031, 1726]"
